count,date,title,description,org_link,link
11,2024-02-07 14:40:00,"K제약·바이오, 중동·북아프리카 시장 공략 잰걸음","맞는 <b>자양강장제</b>, 성기능 강화 제품, 비만치료제 등에 대한 관심은 꾸준할 것으로 예상된다&quot;고 말했다. 아울러 조아제약은 연구개발부터 제조, 유통까지 원스톱으로 제공할 수 있는 특장점도 갖춰 기업 경쟁력을... ",http://www.metroseoul.co.kr/article/20240207500413,http://www.metroseoul.co.kr/article/20240207500413
12,2024-02-07 10:42:00,국내 제약사들 '광동 독주' 경옥고 시장서 한 판 붙는다,수년간 뒤를 이을 경쟁사가 등장하지 않았는데 최근 노령 인구 증가로 <b>자양강장제</b> 판매가 늘면서 시장이 급속히 커지고 있다. 이에 높은 단가로 경옥고가 캐시카우로 부각되면서 제약사들이 잇달아 도전장을 던지고... ,http://www.seoulfn.com/news/articleView.html?idxno=510002,http://www.seoulfn.com/news/articleView.html?idxno=510002
13,2024-02-06 06:12:00,“200억 시장 정조준”…광동제약 ‘경옥고’ 철옹성 공략 나선 제약사들,기업별로는 GC녹십자가 육체 피로와 허약 체질의 <b>자양</b>강장에 도움을 줄 수 있는 한방 보혈<b>강장제</b> ‘녹십자경옥고’를 출시했다.녹십자경옥고는 직접 착즙한 생지황 즙을 사용했으며 인삼과 복령은 초미립 분쇄해... ,https://www.viva100.com/main/view.php?key=20240205010001320,https://www.viva100.com/main/view.php?key=20240205010001320
14,2024-02-05 14:29:00,'꼬막·대게·홍게' 해수부 선정 이 달의 수산물 … 효능은?,쫄깃한 꼬막… 타우린 풍부해 <b>자양강장제</b> 효과 쫄깃한 식감이 매력적인 꼬막은 추운 겨울이 제철이다. 꼬막을 살짝 데쳐서 양념을 얹어 먹거나 채소와 초고추장과 함께 비벼 먹으면 새콤달콤한 맛과 쫄깃함이 입맛을... ,https://health.chosun.com/site/data/html_dir/2024/02/05/2024020501454.html,https://n.news.naver.com/mnews/article/346/0000070179?sid=103
15,2024-02-04 05:30:00,&quot;박카스 끌고 오쏘몰 밀고&quot;… 역대 최대 실적 낸 동아제약,동아제약은 2011년부터 대표제품인 <b>자양강장제</b> 박카스를 약국용 일반약 박카스D와 일반유통용 의약외품 박카스F를 통해 시장을 공략해 왔다. 일반유통용 채널에 풀린 박카스F의 성장이 두드러졌다. 박카스F는... ,https://www.moneys.co.kr/article/2024020216025340774,https://n.news.naver.com/mnews/article/417/0000979554?sid=101
16,2024-02-03 10:02:00,"제약업계, 광동제약 '경옥고' 아성에 도전장…신제품 출시 잇따라","삼진제약은 프리미엄 <b>자양강장제</b> '본 경옥고'를 출시했다. 본 경옥고는 생지황즙, 복령가루, 인삼, 꿀 등의 성분이 함유된 <b>자양강장제</b>로 병중병후, 허약체질, 육체피로, 갱년기 장애 등에 효능을 가진 일반의약품이다.... ",https://news.mtn.co.kr/news-detail/2024020306023384917,https://news.mtn.co.kr/news-detail/2024020306023384917
17,2024-02-02 06:28:00,&quot;국민선택을 받은 일반약...대한민국을 건강하게!&quot;,"대원제약 뉴베인 △ 비듬/지루성피부영 부문: 휴온스 니조랄 △ <b>자양강장제</b> 부문: 유한양행 라라올라 △ 소화제 부문: 동아제약 베나치오 △ 비타민 부문: 종근당 벤포벨S, 동아제약 챔프 △ 종합감기약 부문: 대원제약 콜대원",https://www.kpanews.co.kr/article/show.asp?idx=248491&category=D,https://www.kpanews.co.kr/article/show.asp?idx=248491&category=D
18,2024-02-01 15:42:00,"동아쏘시오홀딩스, 작년 영업익 770억·전년比 103.5%↑...박카스·피부외용제...","특히 <b>자양강장제</b> 박카스를 비롯해 OTC부문의 피부외용제 노스카나와 애크논, 생활건강부문의 프리미엄 비타민 오쏘몰과 검가드가 큰 폭으로 상승하며 성장을 주도했다. 물류 전문회사 용마로지스는 물류 단가... ",https://www.nbntv.kr/news/articleView.html?idxno=86723,https://www.nbntv.kr/news/articleView.html?idxno=86723
19,2024-01-30 20:24:00,감기 기운이 있을 때,"약국에서 판매하는 쌍화탕의 경우, 감기약이 아니라 피로회복에 도움을 주는 <b>자양강장제</b>다. 예로부터 피로회복 목적의 보약으로 쓰이던 쌍화탕의 제조법을 활용, 제품화 한 것이다. 실제로 일반의약품으로 분류돼... ",http://www.withinnews.co.kr/news/view.html?section=1&category=97&item=&no=32564,http://www.withinnews.co.kr/news/view.html?section=1&category=97&item=&no=32564
20,2024-01-30 20:04:00,고백 성공률 99.9% 2024 버전 밸런타인데이 초콜릿 트렌드,"즉각적인 피로 회복에 효과적인 타우린, 천연 <b>자양강장제</b>(?)라 불리는 블랙 마카, 혈액순환을 촉진 시키는 아르기닌 등 식약청에서 인증한 다양한 성분이 함유된 초콜릿인데요. 맛은 일반... ",https://www.allurekorea.com/2024/01/30/%ec%98%ac%ed%95%b4-%eb%b0%b8%eb%9f%b0%ed%83%80%ec%9d%b8%eb%8d%b0%ec%9d%b4-%ec%b4%88%ec%bd%9c%eb%a6%bf%ec%9d%80-%ec%97%ac%ea%b8%b0%ec%97%90%ec%84%9c/?utm_source=naver&utm_medium=partnership,https://www.allurekorea.com/2024/01/30/%ec%98%ac%ed%95%b4-%eb%b0%b8%eb%9f%b0%ed%83%80%ec%9d%b8%eb%8d%b0%ec%9d%b4-%ec%b4%88%ec%bd%9c%eb%a6%bf%ec%9d%80-%ec%97%ac%ea%b8%b0%ec%97%90%ec%84%9c/?utm_source=naver&utm_medium=partnership
21,2024-01-30 17:21:00,"전현무X한석준, 프리해도 특종 열정ing..'프리한19' 400회 빛났다","이처럼, 정치, 경제, 시사, 문화 등 분야를 막론하고 알아 두면 필요한 정보와 지적 갈증을 해소해 주고 있는 전현무와 한석준은 오상진과도 완벽한 케미를 이끌어내며 <b>자양강장제</b> 역할을 톡톡히 보여주고 있는바. 오랜... ",https://www.starnewskorea.com/stview.php?no=2024013017193649074,https://n.news.naver.com/mnews/article/108/0003212093?sid=106
22,2024-01-29 15:46:00,명절 앞 프리미엄 한방 <b>자양강장제</b> '경옥고'가 인기 이유?,민족 최대 명절 설을 앞두고 프리미엄 <b>자양강장제</b> '경옥고'에 대한 관심이 화제다. 경옥고는 조선시대 명약 중 하나로 알려져 있는데 실제로 설 명절이 있는 달 판매량도 증가한다. 의약품 시장조사기관 아이큐비아의... ,http://www.economytalk.kr/news/articleView.html?idxno=249646,http://www.economytalk.kr/news/articleView.html?idxno=249646
23,2024-01-27 00:06:00,[오늘의 운세] 2024년 1월 27일(토) ★별자리 운세★,"<b>자양강장제</b>◆처녀자리오늘 당신은 고삐풀린 망아지, 브레이크 고장난 자동차. 스스로를 컨트롤하는데 제동장치가 말을 듣지 않으니 자칫하다간 망신살 뻗치기 딱 좋은 날이다. 순간의 감정에 휘둘리지 않도록 이성의 끈을... ",http://www.srtimes.kr/news/articleView.html?idxno=150350,http://www.srtimes.kr/news/articleView.html?idxno=150350
24,2024-01-27 00:02:00,오늘의 띠별 운세(1월27일),"<b>자양강장제</b> 처녀자리 오늘 당신은 고삐풀린 망아지, 브레이크 고장난 자동차. 스스로를 컨트롤하는데 제동장치가 말을 듣지 않으니 자칫하다간 망신살 뻗치기 딱 좋은 날이다. 순간의 감정에 휘둘리지 않도록 이성의... ",http://www.kjdaily.com/article.php?aid=1706281200620970227,http://www.kjdaily.com/article.php?aid=1706281200620970227
25,2024-01-27 00:02:00,[오늘의 운세] 1월27일(토) 띠별-별자리-생년월일,"<b>자양강장제</b> 처녀자리 오늘 당신은 고삐풀린 망아지, 브레이크 고장난 자동차. 스스로를 컨트롤하는데 제동장치가 말을 듣지 않으니 자칫하다간 망신살 뻗치기 딱 좋은 날이다. 순간의 감정에 휘둘리지 않도록 이성의... ",http://www.fntimes.com/html/view.php?ud=202401252302418255c1c16452b0_18,http://www.fntimes.com/html/view.php?ud=202401252302418255c1c16452b0_18
26,2024-01-27 00:02:00,"'오늘의 운세' 2024년 1월27일(토) 띠별, 별자리 운세","<b>자양강장제</b> 처녀자리 오늘 당신은 고삐풀린 망아지, 브레이크 고장난 자동차. 스스로를 컨트롤하는데 제동장치가 말을 듣지 않으니 자칫하다간 망신살 뻗치기 딱 좋은 날이다. 순간의 감정에 휘둘리지 않도록 이성의... ",https://www.mhns.co.kr/news/articleView.html?idxno=572600,https://www.mhns.co.kr/news/articleView.html?idxno=572600
27,2024-01-27 00:02:00,[오늘의 별자리 운세] 2024년 1월 27일 토요일,"<b>자양강장제</b> 처녀자리 오늘 당신은 고삐풀린 망아지, 브레이크 고장난 자동차. 스스로를 컨트롤하는데 제동장치가 말을 듣지 않으니 자칫하다간 망신살 뻗치기 딱 좋은 날이다. 순간의 감정에 휘둘리지 않도록 이성의 끈을... ",http://www.joongboo.com/news/articleView.html?idxno=363631424,http://www.joongboo.com/news/articleView.html?idxno=363631424
28,2024-01-27 00:02:00,오늘의 별자리 운세(1월 27일),"<b>자양강장제</b> 처녀자리 오늘 당신은 고삐풀린 망아지, 브레이크 고장난 자동차. 스스로를 컨트롤하는데 제동장치가 말을 듣지 않으니 자칫하다간 망신살 뻗치기 딱 좋은 날이다. 순간의 감정에 휘둘리지 않도록 이성의 끈을... ",http://www.hansbiz.co.kr/news/articleView.html?idxno=676719,http://www.hansbiz.co.kr/news/articleView.html?idxno=676719
29,2024-01-27 00:01:00,"[오늘의 운세] 1월 27일, 외로움이 느껴지는 별자리는?","<b>자양강장제</b> [처녀자리] 오늘 당신은 고삐풀린 망아지, 브레이크 고장난 자동차. 스스로를 컨트롤하는데 제동장치가 말을 듣지 않으니 자칫하다간 망신살 뻗치기 딱 좋은 날이다. 순간의 감정에 휘둘리지 않도록 이성의... ",http://www.inews24.com/view/1678991,https://n.news.naver.com/mnews/article/031/0000808151?sid=103
30,2024-01-27 00:00:00,[오늘의 운세] 2024년 01월 27일 별자리 운세,"행운의 아이템 : <b>자양강장제</b> [처녀자리 8.23 ~ 9.22] 오늘 당신은 고삐풀린 망아지, 브레이크 고장난 자동차. 스스로를 컨트롤하는데 제동장치가 말을 듣지 않으니 자칫하다간 망신살 뻗치기 딱 좋은 날이다. 순간의 감정에... ",https://www.ytn.co.kr/_ln/0121_202401270000000002,https://n.news.naver.com/mnews/article/052/0001990733?sid=004
31,2024-01-26 19:02:00,2024년 1월 27일 별자리 운세,"<b>자양강장제</b> 처녀자리 오늘 당신은 고삐풀린 망아지, 브레이크 고장난 자동차. 스스로를 컨트롤하는데 제동장치가 말을 듣지 않으니 자칫하다간 망신살 뻗치기 딱 좋은 날이다. 순간의 감정에 휘둘리지 않도록 이성의 끈을... ",http://woman.chosun.com/news/articleView.html?idxno=113920,http://woman.chosun.com/news/articleView.html?idxno=113920
32,2024-01-25 16:54:00,"멀게만 느껴지던 스타, 국군의 라디오스타로…“친구 같은 DJ로 오래 만나고 ...",오후 3시를 책임지고 있는 미료는 나른한 청취자들을 위해 <b>자양강장제</b> 같은 에너지를 뿜어낸다. “아무래도 오후 시간대다 보니까 나른해 졸린다는 문자가 많이 와요. 활발하고 발랄한 바이브(Vibe)를 보여 드리려고... ,https://kookbang.dema.mil.kr/newsWeb/20240126/2/ATCE_CTGR_0060010000/view.do,https://kookbang.dema.mil.kr/newsWeb/20240126/2/ATCE_CTGR_0060010000/view.do
33,2024-01-25 07:01:00,[리뷰] 용과 같이 8: 완벽의 문 앞에 선 JRPG,"누군가에겐 이 과정이 피로로 다가올 수도 있지만, '용과 같이'에서 시종일관 유지되는 유쾌한 톤은 게임 플레이에 터프니스Z(게임에 등장하는 <b>자양강장제</b>)가 된다. 그 백미는 단연 미니 플레이 스팟 '쿵더쿵섬'에 있다.... ",https://www.thisisgame.com/webzine/game/nboard/16/?n=183838,https://sports.news.naver.com/news.nhn?oid=439&aid=0000027802
34,2024-01-22 13:42:00,몸집 커지는 ‘펫 케어’ 시장…제약업계도 진출 속도,"광동제약은 <b>자양강장제</b> ‘경옥고’의 반려동물용 제품 ‘견옥고’를 선보였다. 종합 영양제 ‘견옥고 본’, 관절건강을 위한 ‘견옥고 활’, 장 건강을 위한 ‘견옥고 장’으로 세분화해 내놨다. 일동제약은... ",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202401221244523520602,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202401221244523520602
35,2024-01-22 09:34:00,"[이슈체크] '주가조작 의혹' 일양약품, 자본시장법 개정 첫 타깃 후보에 '골머...","금융위 개정안 시행령 앞두고...3년 만에 압수수색 받는 일양약품 [더퍼블릭=이유정 기자] 19일 업계에 따르면, <b>자양강장제</b> 원비디 등으로 유명한 일양약품이 자사 제품의 주가조작 의혹과 관련해 경찰 수사를 받고 있다.... ",https://www.thepublic.kr/news/articleView.html?idxno=213818,https://www.thepublic.kr/news/articleView.html?idxno=213818
36,2024-01-22 07:03:00,아동 ‘카페인 안전 용량’ 있지만 섭취 최대한 늦춰야 [부모 백과사전],"녹차, 홍차, 초콜릿, 탄산음료, <b>자양강장제</b>, 에너지 드링크, 운동보조제 등 다양한 식음료에 카페인이 들어있다. 녹차의 경우는 그나마 ‘카테킨’ 성분이 함유돼 카페인 흡수를 중화하는 효과가 있어 나은 편이지만... ",http://www.segye.com/newsView/20240121507873?OutUrl=naver,https://n.news.naver.com/mnews/article/022/0003896980?sid=103
37,2024-01-20 07:11:00,"'우아한 제국' 이시강 &quot;교체투입, 누군가는 했어야…힘들고 외로웠다&quot; [엑's ...",전날에도 새벽부터 늦은 밤까지 촬영을 하고 왔다는 그는 <b>자양강장제</b>를 마시며 인터뷰에 임하기도. &quot;시간조차 모를 만큼&quot; 촬영에 매진했다는 이시강은 마지막 촬영에서 어마어마한 양의 독백을 소화해야 했다면서 &quot;그... ,https://www.xportsnews.com/article/1815432,https://n.news.naver.com/mnews/article/311/0001683549?sid=106
38,2024-01-19 18:02:00,지친 '간' 달래는 제철 해산물 3…약이 따로 없네,"<b>자양강장제</b> 성분으로 잘 알려진 타우린은 피로 해소는 물론, 간 기능을 개선하는 효과도 뛰어나다. 알코올 해독을 돕는 것도 타우린의 역할이다. 동의보감에는 '명태가 몸속 독을 해독하고 과음으로 인한 피로한 간을... ",https://www.hidoc.co.kr/healthstory/news/C0000854867,https://www.hidoc.co.kr/healthstory/news/C0000854867
39,2024-01-18 16:28:00,"'반려인 1200만명 시대'…제약업계, 펫사업에 푹 빠졌다","광동제약은 <b>자양강장제</b> '경옥고'의 반려동물용 제품 '견옥고'를 선보였다. 종합 영양제 '견옥고 본', 관절건강을 위한 '견옥고 활', 장 건강을 위한 '견옥고 장'으로 세분화해 내놨다. 일동제약은 반려동물용... ",https://www.econovill.com/news/articleView.html?idxno=642762,https://www.econovill.com/news/articleView.html?idxno=642762
40,2024-01-18 15:54:00,"일양약품, 10여년만에 원비디 라인업 강화…&quot;하반기 출시 예정&quot;",원비디는 일양약품이 1971년 대한민국에서 최초로 출시된 <b>자양강장제</b>다. 이 제품은 1990년대 초반 연간 500억원이 넘는 매출을 기록하며 당시 일양약품을 국내 제약회사 매출 2위로 끌어올렸다. 그러나 2000년대 들어서... ,https://news.mtn.co.kr/news-detail/2024011815424251176,https://news.mtn.co.kr/news-detail/2024011815424251176
41,2024-01-17 20:02:00,성기능과 인삼,보강해주는 <b>자양강장제</b>로 널리 인식되고 있다.인삼의 생식기 기능 강화에 대한 현대의학적 연구 결과도 많이 있다. 부산대학교병원 박남철 교수 연구팀은 80명의 불임 남성을 대상으로 하루에 인삼추출물 1.5g을 12주간... ,https://www.cctoday.co.kr/news/articleView.html?idxno=2190159,https://www.cctoday.co.kr/news/articleView.html?idxno=2190159
42,2024-01-15 06:10:00,"국내사 간 파트너십, 시너지 극대화· 新시장 확대 기대","광동제약과 한림제약은 <b>자양강장제</b> 호르반을 공동판매하기로 했으며, CMG 제약과 안국약품은 고혈압·고지혈증 3제 복합제 아모르탄알정에 대해 파트너십 계약을 체결했다. 또, 삼양홀딩스와 HK이노엔은 항암제... ",http://www.monews.co.kr/news/articleView.html?idxno=329264,http://www.monews.co.kr/news/articleView.html?idxno=329264
43,2024-01-14 21:58:00,양산 교감 선생님의 ′공부 못한 학생 이야기′,그 사람들이 전부 공부를 잘 하지는 않았을 겁니다.&quot; &quot;평소 즐겨마시는 <b>자양강장제</b>의 이름을자신의 필명으로 쓸 정도로 저자는 소박하고 소탈하며 교육자가 적은 교육현장의 얘기라 진부 할 것이라는 선입견을 시원하게... ,https://busanmbc.co.kr/01_new/new01_view.asp?idx=260624,https://busanmbc.co.kr/01_new/new01_view.asp?idx=260624
44,2024-01-11 18:08:00,"동아제약, 박카스·오쏘몰 쌍끌이 효과에 토탈헬스케어 기업 도약",마시는 <b>자양강장제</b> '박카스'와 종합감기약 '판피린'은 오랜 기간 동아제약을 대표하는 간판 브랜드였다. 동아제약 하면 박카스와 판피린이 가장 먼저 떠올랐다. 특히 박카스는 출시 60년이 훌쩍 흘렀음에도 연 매출... ,https://www.econovill.com/news/articleView.html?idxno=642037,https://www.econovill.com/news/articleView.html?idxno=642037
45,2024-01-11 06:55:00,"[IS리포트] 박카스 점유율 하락이 반가운 동아제약, 그 이유는",한국을 대표하는 <b>자양강장제</b>인 박카스는 ‘환갑’에도 흔들림 없이 순항하고 있다. 1963년 공식 출시 이후 2023년 8월 박카스 탄생 60주년을 맞은 바 있다. 드링크 타입인 박카스D 출시 이후로 2022년까지 누적 판매량... ,https://isplus.com/article/view/isp202401100200,https://n.news.naver.com/mnews/article/241/0003323502?sid=101
46,2024-01-10 15:34:00,"맨투맥스, 국내산 오자와 블랙마카 아르기닌을 함유한 '오자환' 출시","오자란 하수오·인삼 등과 함께 3대 명약으로 여겨지는 '구기자'와 먹으면 요강이 소변 줄기에 뒤집어진다고 하는 '복분자', 천연<b>자양강장제</b>로 알려진 '토사자' 그리고 양기를 세게 하고 남자의 정력을 도우며, 술독을 풀고... ",http://www.bizwnews.com/news/articleView.html?idxno=74330,http://www.bizwnews.com/news/articleView.html?idxno=74330
47,2024-01-09 07:01:00,"“10만→1만, 말이 돼?” 대박 자신하더니…회장님만 돈 챙겼네",일양은 <b>자양강장제</b> ‘원비디’로 유명하며 국산 신약인 항궤양제 ‘놀텍’과 백혈병 치료제 슈펙트를 개발했다. 하지만 정 대표 취임 후 회사 실적은 좋지 못하다. 올 3분기 누적 매출은 2663억원으로 전년(2827억원)에... ,http://news.heraldcorp.com/view.php?ud=20240109000037,https://n.news.naver.com/mnews/article/016/0002249376?sid=105
48,2024-01-08 12:14:00,&quot;같이 팝시다&quot;...돈되는 신약·규제가 부른 협업 트렌드,지난해 1월엔 한림제약과 광동제약이 <b>자양강장제</b> '호르반'을 공동 판매하기로 했다. 같은 달 CMG제약과 안국약품은 고혈압·고지혈증 3제 복합제인 '아모르탄알정'을 공동 판매하기 위해 손을 잡았다. 삼양홀딩스와... ,http://www.dailypharm.com/Users/News/NewsView.html?ID=307655&REFERER=NP,http://www.dailypharm.com/Users/News/NewsView.html?ID=307655&REFERER=NP
49,2024-01-08 07:12:00,"동국제약, 지난해 의약품 품목허가 18건 '톱'...종근당‧한미약품 뒤이어","일반의약품 중에서는 현기증 개선제, 근육통 완화 파스, <b>자양강장제</b> 등이 품목허가를 받았다. 동국제약 관계자는 &quot;다방면으로 사업을 확장하고자 노력한 데 따른 결과가 나타난 것으로 보인다&quot;고 말했다. 제일약품(대표... ",http://www.consumernews.co.kr/news/articleView.html?idxno=696394,http://www.consumernews.co.kr/news/articleView.html?idxno=696394
50,2024-01-08 05:20:00,[김소형의 본초 테라피] 겨울철 별미 '꼬막'을 사시사철 먹어야 하는 이유,"보통 약국이나 편의점에서 판매하는 <b>자양강장제</b>의 주요 성분인 타우린은 피로 해소에 좋은 대표적인 성분이다. 지쳐 있는 간의 기능을 강화하고, 심신의 피로를 풀어주어 활력을 되찾는 데도 좋다. 그래서 추위에 지친... ",http://www.metroseoul.co.kr/article/20231229500214,http://www.metroseoul.co.kr/article/20231229500214
51,2024-01-05 21:04:00,"&quot;마음 무너져…♥민혜연 덕분에 웃어&quot; 주진모, '사생활 논란' 5년만에 복귀에...",주진모는 &quot;<b>자양강장제</b> CF였다. 농구공을 던지고 '한 게인 더 해?' 이렇게 말하는 CF였다&quot;라고 말했다. 주진모는 자신의 성격에 대해 &quot;보기와는 다르게 새가슴 소심하다는 얘길 많이 들었다&quot;라고 말해 눈길을 끌었다. /hoisoly... ,http://www.osen.co.kr/article/G1112251254,https://n.news.naver.com/mnews/article/109/0004994126?sid=106
52,2024-01-05 15:46:00,"'백반기행' 주진모, 4년 만에 방송 출연","주진모는 청춘스타들의 등용문 <b>자양강장제</b> CF로 데뷔해 영화 '미녀는 괴로워'와 '쌍화점' 등 굵직한 작품으로 배우로서 자리매김에 성공한 주진모. 그는 오랜만인 방송 촬영에 어색함을 감추지 못하지만, 마음의 위로가... ",http://www.queen.co.kr/news/articleView.html?idxno=403458,http://www.queen.co.kr/news/articleView.html?idxno=403458
53,2024-01-05 10:34:00,"주진모, 4년 만에 방송복귀…&quot;아내 민혜연 덕분에 웃는 얼굴로&quot;","주진모는 청춘스타들의 등용문 <b>자양강장제</b> CF로 데뷔해 영화 '미녀는 괴로워'와 '쌍화점' 등 굵직한 작품으로 배우로서 자리매김에 성공한 주진모. 그는 오랜만인 방송 촬영에 어색함을 감추지 못하지만, 마음의 위로가... ",https://www.news1.kr/articles/5281462,https://n.news.naver.com/mnews/article/421/0007272863?sid=106
54,2024-01-05 04:04:00,[혜윰노트] 새해 첫 곡에 담긴 소망들,래퍼 이영지와 호흡을 맞춘 노래는 이들의 시너지가 만들어 낸 폭풍 같은 에너지로 힘들고 외로워도 눈물을 닦으며 ‘파이팅’을 외칠 수밖에 없는 현대인의 <b>자양강장제</b> 역할을 톡톡히 하고 있다. 남매 듀오 악뮤의... ,https://news.kmib.co.kr/article/view.asp?arcid=0924338267&code=11171427&cp=nv,https://n.news.naver.com/mnews/article/005/0001664597?sid=110
55,2024-01-04 20:46:00,집에 있는데 “쓰는 법 몰라요” 허무하게 사망…베란다에 ‘이것’ 있나요,완강기는 보통 아파트 베란다 등에 ‘<b>자양강장제</b> 박스’ 크기만 한 상자 안에 보관돼 있다. 주민들이 평소에는 관심이 없다 보니 정확한 위치나 사용법을 모르고 있다가 갑작스러운 사고에 대처하지 못하는 경우가 많다.... ,https://www.mk.co.kr/article/10913974,https://n.news.naver.com/mnews/article/009/0005240047?sid=102
56,2024-01-04 17:44:00,&quot;내 가족은 내가 지킨다&quot;…'탈출키트' 품절대란,완강기는 보통 아파트 베란다 등에 '<b>자양강장제</b> 박스' 크기만 한 상자 안에 보관돼 있다. 주민들이 평소에는 관심이 없다 보니 정확한 위치나 사용법을 몰라 갑작스러운 사고에 대처하지 못하는 사례가 많다. 한편 아파트... ,https://www.mk.co.kr/article/10913812,https://n.news.naver.com/mnews/article/009/0005239942?sid=102
